title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/44675188'>Let Me Know If You Fall In Love</a>,Silverius23,Completed,988,850,138,14297,Explicit,17388,3,2023-02-03,"Smut, Shameless Smut, Flashbacks, Spit Kink, Strap-Ons, Riding, Belts, Light BDSM, Friends With Benefits, Neck Kissing, Cunnilingus, Name-Calling, Other Additional Tags to Be Added, Sex, Fluff and Smut"
<a href='https://archiveofourown.org/works/43343493'>What we do in the dark</a>,AnonymousViolets,Completed,974,951,23,10893,Explicit,4147,1,2022-11-30,"Light Angst, Vaginal Sex, Vaginal Fingering, Smut, Canon Divergent, Playing around with their time in Switzerland, In which Ava makes the first move because Ava is Ava, And Beatrice reciprocates, This is completely shameless"
<a href='https://archiveofourown.org/works/44238896'>hits different (cause it's you)</a>,TheGoatWithAPen,Completed,973,910,63,7312,Teen And Up Audiences,17564,2,2023-01-30,"Alternate Universe - College/University, Fluff, Ava Silva Being Ava Silva, Mary and Ava are besties, Christmas Party, Yes I know it's January and I'm writing a Christmas party it's what was needed, Shout out to everyone who wanted a sequel"
<a href='https://archiveofourown.org/works/43439214'>there are hundreds of ways to kneel (& kiss the ground)</a>,possibilist,Completed,933,874,59,6109,Teen And Up Audiences,6280,1,2022-12-06,"well this has no plot but if you know me you know that was never coming lol, it is truly just gay, pussy is god basically"
<a href='https://archiveofourown.org/works/43301532'>seventeen letters</a>,nirav,Completed,921,852,69,3486,Teen And Up Audiences,4307,1,2022-11-28,NA
<a href='https://archiveofourown.org/works/44472910'>now our hands join 'round the meaning you sought</a>,snapfreezes,Completed,902,794,108,4758,Mature,9549,1,2023-01-23,"minor characters appear briefly, six times beatrice thinks about marrying ava, the intimacy of peeling fruit for someone you love, and like. smut LMAO"
<a href='https://archiveofourown.org/works/43869309'>now that we're falling (i wanna follow you down)</a>,understreetlights,Completed,889,864,25,3230,Teen And Up Audiences,3067,1,2022-12-27,"Canon Compliant, Sharing a Bed, Late Night Conversations, Mutual Pining, Hurt/Comfort"
<a href='https://archiveofourown.org/works/43538244'>just breathe</a>,spacemanearthgirl,Completed,888,868,20,4436,General Audiences,1832,1,2022-12-10,"Avatrice, Fluff, Sharing a Bed, Beatrice POV"
<a href='https://archiveofourown.org/works/43265706'>Skin Against Blessed Skin</a>,leet911,Completed,865,827,38,4394,Mature,1682,1,2022-11-26,"Spoilers, Fluff, Fluff and Smut, Mild Smut, Touch-Starved, Touching, no plot just vibes, Post-Canon, Ava is back"
"<a href='https://archiveofourown.org/works/43577016'>honey, don't worry, i'll do your laundry (covered in dirt)</a>",gilligankane,Completed,856,799,57,6061,General Audiences,13864,1,2022-12-12,"there's a million ways to say 'i love you' and this is one of them, give me a line about laundry and get 13k in return"
<a href='https://archiveofourown.org/works/43441063'>Swimming and Besties</a>,Silverius23,Completed,851,822,29,6057,Mature,10065,2,2022-12-11,"Swimming, Swimming Pools, Drowning, Jealous Sister Beatrice (Warrior Nun), Jealousy, soft, First Kiss, Everyone Thinks They're Together"
<a href='https://archiveofourown.org/works/44666995'>sunday people (sunday shines for you)</a>,gilligankane,Completed,850,757,93,4805,Mature,13651,1,2023-01-30,"if you saw me writing this at work no you didn't, this is AU and warrior nuns do not exist, jealous ava because WHY NOT!?"
<a href='https://archiveofourown.org/works/43465578'>tongue so mean</a>,britishngay,Completed,832,805,27,5339,Mature,11258,1,2022-12-07,"listen i had the idea of beatrice in a vicar outfit and it snowballed, Alternate Universe, ava is a bartender, bea is a vicar, They are gay, Fluff, Smut, Tension"
<a href='https://archiveofourown.org/works/43303969'>just a little more time</a>,spacemanearthgirl,Completed,832,817,15,4533,General Audiences,1161,1,2022-11-28,"Avatrice, First Kiss, set during 2x08, There are some feelings in this one"
